,text,intent,labels
7320,Add:O the:O artist:B-music_item jill:B-artist vidal:I-artist to:O my:B-playlist_owner Sinfonía:B-playlist Hipster:I-playlist playlist:O ," AddToPlaylist
",0
5798,What:O time:O is:O The:B-movie_name Bride:I-movie_name from:I-movie_name Hell:I-movie_name playing:O at:O Malco:B-location_name Theatres:I-location_name ," SearchScreeningEvent
",6
4896,I'm:O looking:O for:O The:B-object_name Birth:I-object_name of:I-object_name a:I-object_name Nation:I-object_name ," SearchCreativeWork
",5
2243,Can:O you:O let:O me:O know:O when:O Talk:B-movie_name of:I-movie_name the:I-movie_name Devil:I-movie_name is:O playing:O at:O the:O movie:B-object_location_type theatre:I-object_location_type ?:O ," SearchScreeningEvent
",6
5415,Where:O can:O I:O find:O Lonely:B-object_name Hearts:I-object_name ," SearchCreativeWork
",5
404,I:O need:O a:O table:O for:O 1:B-timeRange minute:I-timeRange from:I-timeRange now:I-timeRange at:O any:O pub:B-restaurant_type for:O five:B-party_size_number around:B-spatial_relation IN:B-state that:O also:O serves:O fisn'n:B-served_dish chips:I-served_dish .:O ," BookRestaurant
",1
4314,Can:O you:O put:O some:O monifah:B-artist on:O my:B-playlist_owner disco:B-playlist fever:I-playlist playlist:O ," AddToPlaylist
",0
9024,Play:O rie:B-artist fu:I-artist music:O sorted:O by:O the:O best:B-sort .:O ," PlayMusic
",3
3446,What's:O the:O weather:O in:O RI:B-state ?:O ," GetWeather
",2
5773,add:O the:O artist:B-music_item gougoush:B-artist to:O the:O Soul:B-playlist Revived:I-playlist playlist:O ," AddToPlaylist
",0
4990,Use:O Groove:B-service Shark:I-service to:O play:O the:O Today:B-album And:I-album Tomorrow:I-album album:B-music_item ," PlayMusic
",3
1482,Add:O Waltz:B-entity_name for:I-entity_name Debby:I-entity_name to:O my:B-playlist_owner Soft:B-playlist Pop:I-playlist Hits:I-playlist playlist.:O ," AddToPlaylist
",0
1007,Can:O you:O play:O The:B-track Change:I-track Is:I-track Made:I-track on:O Netflix:B-service ," PlayMusic
",3
699,I'd:O say:O Life:B-object_name in:I-object_name the:I-object_name Iron:I-object_name Mills:I-object_name was:O a:O five:B-rating_value ," RateBook
",4
3022,book:O The:B-restaurant_name Kegs:I-restaurant_name Drive-In:I-restaurant_name in:B-timeRange 37:I-timeRange weeks:I-timeRange in:O Saudi:B-country Arabia:I-country ," BookRestaurant
",1
69,what:O animated:B-movie_type movies:I-movie_type are:O at:O the:O nearest:B-spatial_relation cinema:B-object_location_type ," SearchScreeningEvent
",6
7247,Is:O it:O going:O to:O get:O hotter:B-condition_temperature in:O my:O current:B-current_location position:I-current_location ," GetWeather
",2
2280,what:O is:O the:O 10:B-timeRange pm:I-timeRange forecast:O for:O Sweet:B-city Springs:I-city Wyoming:B-state ," GetWeather
",2
421,Add:O tune:B-music_item to:O downtempo:B-playlist beats:I-playlist ," AddToPlaylist
",0
478,Where:O theater:O is:O playing:O The:B-movie_name Ranger:I-movie_name and:I-movie_name the:I-movie_name Lady:I-movie_name at:O 10:B-timeRange AM:I-timeRange ," SearchScreeningEvent
",6
9057,Add:O a:O tune:B-music_item by:O Louis:B-artist Wolfe:I-artist Gilbert:I-artist to:O my:B-playlist_owner cleaning:B-playlist playlist:O ," AddToPlaylist
",0
4991,will:O it:O be:O warm:B-condition_temperature within:B-spatial_relation walking:I-spatial_relation distance:I-spatial_relation of:O Saint:B-country Pierre:I-country and:I-country Miquelon:I-country ," GetWeather
",2
2708,Find:O a:O movie:B-object_type schedule:I-object_type .:O ," SearchScreeningEvent
",6
3504,what:O is:O the:O AMerican:B-state Samoa:I-state forecast:O for:O hot:B-condition_temperature weather:O ," GetWeather
",2
4853,I'd:O like:O to:O see:O a:O movies:B-movie_type at:O the:O nearest:B-spatial_relation movie:B-object_location_type house:I-object_location_type ," SearchScreeningEvent
",6
8214,I:O am:O rating:O this:O book:B-object_type called:O Nuclear:B-object_name War:I-object_name Survival:I-object_name Skills:I-object_name zero:B-rating_value stars:B-rating_unit ," RateBook
",4
1451,play:O a:O Karin:B-artist Dreijer:I-artist Andersson:I-artist soundtrack:B-music_item on:O Groove:B-service Shark:I-service ," PlayMusic
",3
3738,Show:O films:B-movie_type at:O the:O nearest:B-spatial_relation cinema:B-object_location_type ," SearchScreeningEvent
",6
811,What's:O the:O weather:O in:O Parthenon:B-city ," GetWeather
",2
4719,Find:O the:O schedule:B-object_type for:O close:B-spatial_relation by:I-spatial_relation movies:B-movie_type .:O ," SearchScreeningEvent
",6
846,Please:O shoe:O me:O the:O movie:B-object_type schedule:I-object_type for:O today.:O ," SearchScreeningEvent
",6
3669,what:O is:O the:O weather:O forecast:O faraway:B-spatial_relation from:O RI:B-state seven:B-timeRange months:I-timeRange from:I-timeRange now:I-timeRange ," GetWeather
",2
1071,Where:O can:O I:O find:O the:O movie:B-object_type schedules:I-object_type ?:O ," SearchScreeningEvent
",6
7288,The:O this:B-playlist is:I-playlist kevin:I-playlist johansen:I-playlist playlist:O needs:O The:B-entity_name Lamb:I-entity_name Lies:I-entity_name Down:I-entity_name on:I-entity_name Broadway:I-entity_name in:O it.:O ," AddToPlaylist
",0
3954,What:O is:O the:O weather:O in:O Port:B-city Vue:I-city ," GetWeather
",2
274,add:O yang:B-artist hyun:I-artist seok:I-artist to:O the:O playlist:O called:O night:B-playlist out:I-playlist ," AddToPlaylist
",0
4954,Play:O me:O the:O trailer:B-object_type for:O Chasing:B-object_name After:I-object_name Shadows...:I-object_name Living:I-object_name with:I-object_name the:I-object_name Ghosts:I-object_name .:O ," SearchCreativeWork
",5
6952,Play:O me:O a:O song:B-music_item by:O Avispa:B-artist Music:I-artist from:O 1965:B-year ," PlayMusic
",3
5622,The:O ultimate:B-playlist 90s:I-playlist needs:O avant:B-entity_name que:I-entity_name l’ombre:I-entity_name à:I-entity_name bercy:I-entity_name in:O it.:O ," AddToPlaylist
",0
3678,Rate:O this:B-object_select novel:B-object_type 4:B-rating_value points:B-rating_unit out:O of:O 6:B-best_rating ," RateBook
",4
8461,Play:O some:O chant:B-music_item from:O 1974:B-year ," PlayMusic
",3
8652,use:O Iheart:B-service to:O listen:O to:O retro:B-genre ," PlayMusic
",3
1201,I:O give:O this:O current:B-object_select novel:B-object_type 0:B-rating_value points:B-rating_unit ," RateBook
",4
6705,Find:O the:O Pop:B-object_name Has:I-object_name Freed:I-object_name Us:I-object_name saga:B-object_type ," SearchCreativeWork
",5
